Membership No  Date Joined  Active  
    78357      2016-12-5    yes   
    28926      2016-8-6     no    
    87213      2018-1-3     yes   
    34561      2015-7-25    no    
    31801      2020-7-2     no    
    65571      2020-6-5     yes   
    28148      2017-9-23    yes   
    18037      2016-12-13   no    
    57722      2018-4-3     no    
    22178      2016-12-7    no    
    55206      2020-7-18    no    
    75609      2019-10-3    yes   
    18762      2015-8-19    yes   
    18683      2017-9-15    yes   
    36190      2019-2-3     no    
    13044      2016-6-25    no    
    20612      2017-10-2    no    
    26222      2020-7-7     no    
    93526      2020-11-9    yes   
    81477      2018-8-22    yes   
